id,Reference,Country,lat,long,rfrog,rprey,size,conn,nmodulos,nlink,NODF,mod,h2,dNODF,dmod,dh2,zNODF,zmod,zh2,NODFsig,modsig,h2sig,complete,intens,region,type
12,12,Brazil,"-6,664989","-40,208611",16,20,36,"0,303125",3,"2,694444","42,79577","0,2639933","0,3319791","-26,23305","0,2306217","0,3116492","-7,009509","47,70536","91,25657",10,0,0,"75,18273","1,667708",Tropical,Nat
13,13,Brazil,"-6,721503","-35,189322",26,21,47,"0,2930403",3,"3,404","42,49696","0,2530714","0,4316516","-23,40444","0,2282559","0,4123102","-6,955665","70,14057","137,8813",10,0,0,"79,34697","1,689788",Tropical,Nat
14,14,Brazil,"-7,416694","-36,514381",16,27,43,"0,3472222",4,"3,488372","49,63392","0,3260527","0,2648016","-18,57032","0,2547802","0,230686","-7,192091","42,42224","78,5788",10,0,0,"85,00655","1,533379",Tropical,Nat
15,15,Brazil,"-20,027222","-56,602356",4,11,15,"0,7272727",2,"2,133333","41,24707","0,2534718","0,3465663","-18,34415","0,2328898","0,3399034","-2,641057","39,18997","161,4218","9,98",0,0,100,"3,397793",Tropical,Mod
16,16,Brazil,"-18,916672","-48,3",4,26,30,"0,7211538",4,"2,5","47,04599","0,1775813","0,1308249","-0,318647","0,1280154","0,1165836","-0,07381068","20,90871","44,03545","5,53",0,0,"92,31224","2,846928",Tropical,Nat
17,17,Brazil,"-21,732272","-43,370233",3,16,19,"0,5416667",3,"1,368421","25,29359","0,3686128","0,4879358","-20,22712","0,2636529","0,4244318","-3,883682","13,14929","0,4244318",10,0,0,"85,30464","1,2",Tropical,Nat
18,18,Brazil,"-14,798778","-52,642033",4,15,19,"0,5833333",4,"1,842105","50,01001","0,3132928","0,2768232","-2,186719","0,2343584","0,2415238","-0,3597215","19,60671","29,67509","6,51",0,0,"98,59433","1,447411",Tropical,Nat
19,19,Brazil,"-29,383333","-50,383333",7,20,27,"0,4785714",3,"2,481481","43,87685","0,2845363","0,2928985","-21,70097","0,2183299","0,256851","-5,343797","23,062","39,68953",10,0,0,"88,71587","1,452092",Temperate,Nat
20,20,Brazil,"-20,75","-40,950089",3,15,18,"0,6444444",2,"1,611111","39,88095","0,136174","0,2084081","-5,325892","0,1013768","0,1903079","-0,9744621","12,25824","35,82578","8,31",0,0,"91,86518","2,228602",Tropical,Mod
21,21,Brazil,"-7,474444","-38,344167",13,25,38,"0,3384615",4,"2,894737","44,40146","0,5639349","0,6112112","-28,36874","0,5327311","0,5983148","-9,71682","138,0967","379,2857",10,0,0,"88,08668","2,453255",Tropical,Nat
22,22,Brazil,"-20,576886","-49,316667",3,20,23,"0,6166667",2,"1,608696","54,62003","0,1728126","0,501919","-0,9132532","0,1646681","0,4952173","-0,2023937","68,83349","192,2504","5,73",0,0,"81,62185","4,645428",Tropical,Nat
23,23,Brazil,"-21,664511","-57,717886",12,17,29,"0,2990196",4,"2,103448","40,23574","0,270597","0,3855577","-27,78567","0,2272937","0,3600873","-6,995262","41,25399","70,41257",10,0,0,"52,00917","1,420094",Tropical,Nat
24,24,Brazil,-9,-41,3,15,18,"0,7333333",2,"1,833333","49,18981","0,1502317","0,1316896","0,4342926","0,133042","0,1231546","0,06992298","28,30543","53,98084","4,83",0,0,"75,5806","4,127146",Tropical,Nat
25,25,Brazil,"-15,486694","-47,689242",5,17,22,"0,5294118",3,"2,045455","40,87845","0,07311019","0,1821788","-25,9681","0,133042","0,1765181","-5,689387","28,12228","107,4301",10,0,0,"86,30279","5,463332",Tropical,Nat
26,26,Brazil,"-21,409915","-48,350882",7,10,17,"0,5",2,"2,058824","54,4733","0,2929397","0,5464056","-17,62626","0,2787306","0,5391851","-3,546746","61,09259","196,0333",10,0,0,"77,56748","2,973214",Tropical,Mod
27,27,Brazil,"-28,134444","-49,479722",3,23,26,"0,7246377",2,"1,923077","41,72551","0,1251438","0,1802273","-10,7772","0,08758833","0,1548648","-2,124108","12,49275","25,47564","9,78",0,0,"66,68623","2,760435",Temperate,Nat
28,28,China,"30,291585","122,170978",3,14,17,"0,8095238",3,2,"36,80851","0,170574","0,2278935","-5,26648","0,1407699","0,2137642","-0,7810876","25,09034","45,8107","7,85",0,0,"84,48464","2,649528",Temperate,Nat
29,29,Colombia,"10,081033","-74,001217",5,19,24,"0,6421053",3,"2,541667","56,07145","0,1182755","0,06485921","1,168751","0,03441769","0,02365786","0,2817218","3,13764","2,741342","3,84",0,"0,06","70,33241","1,369671",Tropical,Nat
30,30,Colombia,"4,132072","-73,641597",24,21,45,"0,25",3,"2,8","39,38511","0,2026762","0,2958518","-22,22563","0,1667973","0,2686964","-7,309083","49,87187","81,41096",10,0,0,"80,45309","1,480991",Tropical,Mod
31,31,Colombia,"9,000011","-73,966667",4,15,19,"0,6",3,"1,894737","40,95345","0,3894544","0,4772282","-12,12143","0,2788272","0,4171327","-2,10044","16,02042","30,73684","9,72",0,0,"84,26572","1,106797",Tropical,Mod
32,32,Colombia,"7,05","-72,950144",6,14,20,"0,547619",4,"2,3","40,55956","0,2448517","0,2002427","-11,89404","0,09552918","0,09061914","-1,926944","4,112623","3,7394","9,57",0,"0,01","40,65759","0,7",Tropical,Nat
33,33,Colombia,"4,833333","-76,25",17,20,37,"0,3823529",5,"3,513514","41,24124","0,3406463","0,2887025","-14,70027","0,2218267","0,2219106","-4,454416","21,32985","31,64497",10,0,0,"67,10232","0,8373628",Tropical,Nat
